title,genres,rating,platform
Dragon Ball Z,"Sci-Fi, Romance",4.2,Hulu
Dragon Ball Z,"Drama, Slice of Life, Horror",1.0,Amazon Prime
Dragon Ball Z,"Fantasy, Mystery, Supernatural",7.0,Hulu
Hotel del Luna,"Action, Sci-Fi, Thriller",3.6,Amazon Prime
The Matrix,"Comedy, Thriller, Fantasy",3.0,Hulu
My Hero Academia,"Sci-Fi, Fantasy, Action",1.3,Viki
Jujutsu Kaisen,"Comedy, Adventure",8.5,Viki
Goodfellas,"Action, Adventure",2.6,Hulu
Death Note,"Comedy, Adventure",8.7,Amazon Prime
One Piece,"Mystery, Slice of Life",2.4,Hulu
Naruto,"Comedy, Drama, Supernatural",9.0,Disney+
Naruto,"Fantasy, Supernatural",7.0,Viki
Squid Game,"Romance, Supernatural",2.7,Disney+
The Shawshank Redemption,"Horror, Fantasy",8.8,Amazon Prime
Squid Game,Slice of Life,1.2,Amazon Prime
Goblin,"Sci-Fi, Slice of Life, Comedy",4.3,Disney+
Hotel del Luna,Supernatural,4.8,Hulu
The Matrix,"Slice of Life, Adventure, Sci-Fi",4.5,Viki
The Godfather,"Adventure, Slice of Life",7.9,Hulu
Naruto,Romance,4.9,Disney+
The Silence of the Lambs,"Romance, Fantasy, Slice of Life",3.7,Netflix
Crash Landing on You,"Mystery, Action",3.6,Amazon Prime
Dragon Ball Z,"Horror, Drama, Romance",7.4,Viki
Naruto,"Sci-Fi, Supernatural, Comedy",4.0,Viki
Start-Up,"Drama, Horror, Thriller",5.6,Netflix
Attack on Titan,"Fantasy, Sci-Fi",3.9,Hulu
Dragon Ball Z,"Romance, Drama",5.4,Netflix
Crash Landing on You,"Comedy, Thriller",9.8,Hulu
Jujutsu Kaisen,"Thriller, Romance, Comedy",2.7,Disney+
Attack on Titan,"Action, Adventure",1.7,Crunchyroll
Dragon Ball Z,"Comedy, Romance",1.1,Crunchyroll
Crash Landing on You,"Slice of Life, Horror",8.2,Netflix
Start-Up,Adventure,6.3,Crunchyroll
Fullmetal Alchemist,"Horror, Slice of Life, Action",8.0,Netflix
Crash Landing on You,"Adventure, Action, Thriller",6.3,Hulu
Fullmetal Alchemist,Romance,3.9,Disney+
Vincenzo,Sci-Fi,7.4,Disney+
One Piece,"Thriller, Romance, Comedy",5.8,Viki
Itaewon Class,"Comedy, Fantasy, Romance",5.2,Hulu
Fullmetal Alchemist,Comedy,5.2,Hulu
Naruto,Action,2.5,Disney+
Inception,"Sci-Fi, Mystery, Fantasy",4.6,Hulu
Descendants of the Sun,Action,6.9,Crunchyroll
Goodfellas,"Slice of Life, Drama, Mystery",9.8,Crunchyroll
Naruto,"Comedy, Adventure, Drama",8.2,Crunchyroll
Dragon Ball Z,"Action, Slice of Life, Mystery",5.2,Disney+
One Piece,"Horror, Supernatural",5.7,Hulu
Hotel del Luna,Supernatural,5.1,Crunchyroll
Pulp Fiction,"Supernatural, Drama",1.6,Amazon Prime
Death Note,"Mystery, Sci-Fi",1.5,Hulu
The Silence of the Lambs,Adventure,5.3,Hulu
Itaewon Class,"Horror, Supernatural",1.2,Amazon Prime
Crash Landing on You,"Adventure, Comedy",7.0,Amazon Prime
Naruto,"Drama, Thriller, Fantasy",8.6,Disney+
The Matrix,"Adventure, Action, Thriller",7.7,Amazon Prime
Descendants of the Sun,Action,9.8,Crunchyroll
Vincenzo,"Action, Romance, Fantasy",4.6,Hulu
Descendants of the Sun,Romance,7.3,Hulu
Demon Slayer,"Comedy, Fantasy",3.1,Viki
The Shawshank Redemption,"Fantasy, Thriller",8.4,Crunchyroll
Descendants of the Sun,Drama,2.5,Hulu
Jujutsu Kaisen,"Thriller, Comedy",9.0,Netflix
Goodfellas,Romance,8.7,Viki
Demon Slayer,"Action, Thriller",5.3,Hulu
The Dark Knight,"Sci-Fi, Action",1.8,Viki
Goblin,Thriller,1.0,Crunchyroll
Vincenzo,"Slice of Life, Action",4.3,Hulu
Crash Landing on You,"Horror, Supernatural",3.2,Crunchyroll
Itaewon Class,"Fantasy, Action",6.5,Amazon Prime
Death Note,"Horror, Mystery",1.3,Amazon Prime
Crash Landing on You,"Slice of Life, Comedy",5.4,Netflix
Vincenzo,"Mystery, Comedy, Adventure",7.7,Viki
Death Note,"Slice of Life, Sci-Fi",2.6,Disney+
The Godfather,"Drama, Comedy",8.0,Disney+
Inception,"Horror, Adventure, Drama",1.3,Viki
My Hero Academia,Drama,9.3,Amazon Prime
The Shawshank Redemption,Supernatural,5.6,Amazon Prime
Tokyo Ghoul,Thriller,5.1,Netflix
Itaewon Class,"Mystery, Sci-Fi, Slice of Life",6.7,Hulu
Inception,Adventure,3.5,Crunchyroll
Demon Slayer,"Action, Slice of Life, Mystery",8.0,Amazon Prime
Goodfellas,"Slice of Life, Supernatural",1.6,Hulu
Pulp Fiction,"Slice of Life, Fantasy",6.5,Hulu
Vincenzo,"Sci-Fi, Action, Supernatural",3.3,Viki
The Shawshank Redemption,"Fantasy, Drama",3.6,Netflix
Tokyo Ghoul,Slice of Life,4.6,Crunchyroll
Vincenzo,"Comedy, Sci-Fi",3.4,Netflix
Inception,Romance,2.9,Hulu
Forrest Gump,Thriller,7.9,Netflix
It's Okay to Not Be Okay,Romance,2.0,Hulu
The Dark Knight,"Romance, Mystery, Slice of Life",8.2,Amazon Prime
Hotel del Luna,"Sci-Fi, Slice of Life, Horror",3.0,Crunchyroll
Hotel del Luna,"Slice of Life, Supernatural, Mystery",2.3,Crunchyroll
Goodfellas,"Sci-Fi, Slice of Life, Drama",6.4,Hulu
Goodfellas,"Horror, Comedy",3.3,Amazon Prime
The Godfather,"Mystery, Comedy",6.4,Hulu
The Dark Knight,Comedy,2.4,Netflix
Tokyo Ghoul,Sci-Fi,2.2,Netflix
Inception,"Fantasy, Adventure, Sci-Fi",5.9,Amazon Prime
Vincenzo,"Romance, Action, Slice of Life",6.3,Crunchyroll
My Hero Academia,"Drama, Slice of Life",3.9,Amazon Prime
Itaewon Class,"Comedy, Horror, Supernatural",8.4,Disney+
It's Okay to Not Be Okay,Romance,6.7,Disney+
Hotel del Luna,"Mystery, Drama, Slice of Life",9.8,Amazon Prime
Vincenzo,"Drama, Adventure",7.0,Hulu
The Silence of the Lambs,Mystery,2.8,Amazon Prime
The Godfather,"Fantasy, Action, Romance",7.4,Hulu
The Dark Knight,Horror,5.3,Hulu
Start-Up,"Fantasy, Horror",8.5,Crunchyroll
The Silence of the Lambs,Adventure,4.1,Crunchyroll
Goblin,"Thriller, Comedy",3.7,Hulu
The Dark Knight,"Slice of Life, Drama, Thriller",2.1,Disney+
The Shawshank Redemption,Mystery,3.0,Viki
The Matrix,Drama,10.0,Crunchyroll
Crash Landing on You,"Action, Fantasy, Supernatural",9.9,Netflix
Jujutsu Kaisen,"Mystery, Slice of Life, Drama",7.7,Crunchyroll
Dragon Ball Z,"Adventure, Fantasy, Mystery",1.6,Netflix
Squid Game,Horror,4.3,Crunchyroll
Naruto,Sci-Fi,7.8,Crunchyroll
The Dark Knight,Action,9.4,Disney+
The Matrix,Romance,7.4,Hulu
Inception,"Drama, Comedy",6.1,Viki
The Dark Knight,"Mystery, Romance, Horror",1.5,Netflix
Pulp Fiction,Mystery,6.4,Viki
Squid Game,"Romance, Slice of Life, Comedy",4.1,Disney+
Hotel del Luna,Thriller,5.7,Hulu
Jujutsu Kaisen,"Supernatural, Comedy, Fantasy",3.1,Crunchyroll
Naruto,"Drama, Fantasy, Romance",6.7,Hulu
Goblin,"Slice of Life, Action, Horror",2.9,Amazon Prime
The Godfather,"Romance, Fantasy",7.2,Crunchyroll
The Silence of the Lambs,"Sci-Fi, Fantasy",9.7,Crunchyroll
Goblin,"Comedy, Horror",1.5,Disney+
Itaewon Class,"Action, Drama, Adventure",3.1,Viki
Hotel del Luna,"Mystery, Slice of Life",1.3,Disney+
Demon Slayer,"Mystery, Sci-Fi, Romance",4.9,Netflix
Dragon Ball Z,"Mystery, Slice of Life, Thriller",5.1,Viki
The Dark Knight,"Slice of Life, Comedy",2.8,Disney+
Hotel del Luna,Supernatural,7.1,Amazon Prime
Forrest Gump,Action,7.3,Viki
One Piece,"Horror, Adventure",6.1,Crunchyroll
Goodfellas,Thriller,3.5,Hulu
Tokyo Ghoul,"Adventure, Supernatural",9.7,Disney+
Crash Landing on You,Fantasy,8.9,Amazon Prime
Dragon Ball Z,"Adventure, Sci-Fi, Action",6.3,Amazon Prime
Dragon Ball Z,"Comedy, Sci-Fi, Slice of Life",7.1,Disney+
One Piece,"Mystery, Fantasy, Action",5.7,Disney+
It's Okay to Not Be Okay,Horror,8.0,Disney+
Death Note,"Slice of Life, Adventure",6.8,Netflix
The Silence of the Lambs,Fantasy,2.8,Crunchyroll
Naruto,"Sci-Fi, Fantasy",4.6,Amazon Prime
Tokyo Ghoul,"Supernatural, Drama, Fantasy",4.1,Netflix
Dragon Ball Z,"Action, Horror, Supernatural",3.8,Crunchyroll
Forrest Gump,"Mystery, Drama",5.2,Viki
Start-Up,Sci-Fi,7.5,Disney+
Attack on Titan,Thriller,8.1,Hulu
The Godfather,Sci-Fi,1.8,Crunchyroll
Demon Slayer,Action,9.9,Hulu
